Date,Name,Year,Letterboxd URI
2023-12-05,Scarface,1983,https://boxd.it/2b7g
2023-12-11,Lolita,1962,https://boxd.it/29Ag
2023-12-11,Rebecca,1940,https://boxd.it/2aQa
2023-12-27,Dream Scenario,2023,https://boxd.it/v2h0
2023-12-31,The Graduate,1967,https://boxd.it/18Im
2023-12-31,Clue,1985,https://boxd.it/1MDQ
2024-01-01,Lady Vengeance,2005,https://boxd.it/248G
2024-01-01,Chungking Express,1994,https://boxd.it/1UDa
2024-01-02,The Housemaid,1960,https://boxd.it/WJs
2024-01-05,Charcoal,2022,https://boxd.it/wVge
2024-01-05,Bingo: The King of the Mornings,2017,https://boxd.it/fcGs
2024-01-07,Embrace of the Serpent,2015,https://boxd.it/baba
2024-01-07,Neighboring Sounds,2012,https://boxd.it/3nzS
2024-01-07,Reflections of a Blender,2010,https://boxd.it/4YgA
2024-01-11,PlayTime,1967,https://boxd.it/1WLK
2024-01-15,Society of the Snow,2023,https://boxd.it/y9aw
2024-01-15,Godzilla Minus One,2023,https://boxd.it/zu4c
2024-01-21,Fallen Leaves,2023,https://boxd.it/Bgew
2024-01-22,When Evil Lurks,2023,https://boxd.it/rXBe
2024-01-22,Misery,1990,https://boxd.it/28gY
2024-01-22,The Fly,1986,https://boxd.it/1YIe
2024-01-23,They Live,1988,https://boxd.it/20lm
2024-01-24,Spartacus,1960,https://boxd.it/29bq
2024-01-24,Apocalypse Now,1979,https://boxd.it/6ZS
2024-01-25,Notorious,1946,https://boxd.it/2aDK
2024-01-25,Repulsion,1965,https://boxd.it/1TKu
2024-01-26,The Night of the Hunter,1955,https://boxd.it/25HW
2024-01-29,Mon Oncle,1958,https://boxd.it/2apy
2024-01-29,Evil Dead II,1987,https://boxd.it/29Ge
2024-01-30,Army of Darkness,1992,https://boxd.it/29G4
2024-01-30,Evil Dead Rise,2023,https://boxd.it/qIvo
2024-01-30,Aliens,1986,https://boxd.it/29PA
2024-01-30,Alien³,1992,https://boxd.it/20zS
2024-01-31,Star Wars,1977,https://boxd.it/72s
2024-02-01,The Empire Strikes Back,1980,https://boxd.it/27Vw
2024-02-01,Return of the Jedi,1983,https://boxd.it/27Vm
2024-02-01,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc
2024-02-02,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2
2024-02-02,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US
2024-02-02,Paths of Glory,1957,https://boxd.it/29b6
2024-02-03,Hitchcock,2012,https://boxd.it/3LDa
2024-02-07,Poor Things,2023,https://boxd.it/tNWU
2024-02-12,Charade,1963,https://boxd.it/23O2
2024-02-13,Lost Highway,1997,https://boxd.it/29Wc
2024-02-15,World on a Wire,1973,https://boxd.it/B9me
2024-02-15,Life of Brian,1979,https://boxd.it/2a4q
2024-02-16,Prince of Darkness,1987,https://boxd.it/1ZKq
2024-02-16,In the Mouth of Madness,1994,https://boxd.it/26vi
2024-02-16,Incendies,2010,https://boxd.it/Msm
2024-02-16,Dune,2021,https://boxd.it/fA7G
2024-02-17,The Favourite,2018,https://boxd.it/d2hI
2024-02-19,Heaven Knows What,2014,https://boxd.it/8P1a
2024-02-26,Alphaville,1965,https://boxd.it/20AG
2024-02-27,The Zone of Interest,2023,https://boxd.it/gJsA
2024-02-29,Inglourious Basterds,2009,https://boxd.it/1JzG
2024-03-03,Dune: Part Two,2024,https://boxd.it/pUfA
2024-03-05,Spaceman,2024,https://boxd.it/nC20
2024-03-05,Shin Godzilla,2016,https://boxd.it/a9lm
2024-03-07,Spellbound,1945,https://boxd.it/24Ji
2024-03-07,The Web,2013,https://boxd.it/cjy0
2024-03-20,Pi,1998,https://boxd.it/2ajq
2024-03-28,I Saw the Devil,2010,https://boxd.it/FaK
2024-03-29,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG
2024-03-29,Porta dos Fundos: Contrato Vitalício,2016,https://boxd.it/dNtG
2024-03-29,Don't Look Up,2021,https://boxd.it/o0Hc
2024-03-29,The Nice Guys,2016,https://boxd.it/94Hg
2024-04-01,Long Day's Journey Into Night,2018,https://boxd.it/hw1I
2024-04-01,Burning,2018,https://boxd.it/hHUa
2024-04-05,Hard Labor,2011,https://boxd.it/3km2
2024-04-15,What We Do in the Shadows,2014,https://boxd.it/7eQy
2024-04-20,Late Night with the Devil,2023,https://boxd.it/zo6G
2024-04-21,"Paris, Texas",1984,https://boxd.it/29Ts
2024-04-21,Perfect Days,2023,https://boxd.it/ATh8
2024-04-22,Fargo,1996,https://boxd.it/2aHM
2024-04-26,Monkey Man,2024,https://boxd.it/kvsO
2024-05-04,The Room,2003,https://boxd.it/1ICY
